Time:2016-11-16 21:00:29:672-Trace>>OnEntitySyncQueue execute count:1, success:4/total 31, fail:0 start...


Time:2016-11-16 21:00:31:857-Trace>>OnEntitySyncQueue execute count:1, success:5/total 45, fail:0 start...


Time:2016-11-16 21:01:10:451-Trace>>OnEntitySyncQueue execute count:1, success:6/total 46, fail:0 start...


Time:2016-11-16 21:01:13:186-Trace>>OnEntitySyncQueue execute count:1, success:7/total 60, fail:0 start...


Time:2016-11-16 21:02:13:812-Trace>>OnEntitySyncQueue execute count:1, success:8/total 61, fail:0 start...


Time:2016-11-16 21:02:16:327-Trace>>OnEntitySyncQueue execute count:1, success:9/total 75, fail:0 start...


Time:2016-11-16 21:07:39:328-Trace>>OnEntitySyncQueue execute count:1, success:10/total 76, fail:0 start...


Time:2016-11-16 21:07:43:699-Trace>>OnEntitySyncQueue execute count:1, success:11/total 90, fail:0 start...


Time:2016-11-16 21:10:48:629-Trace>>Db connection not found provider type, OraAspNetConString connectionString:


Time:2016-11-16 21:11:09:684-Trace>>OnEntitySyncQueue execute count:1, success:0/total 1, fail:0 start...


Time:2016-11-16 21:11:13:298-Trace>>OnEntitySyncQueue execute count:1, success:1/total 15, fail:0 start...


Time:2016-11-16 21:12:02:280-Trace>>OnEntitySyncQueue execute count:1, success:2/total 16, fail:0 start...


Time:2016-11-16 21:12:06:001-Trace>>OnEntitySyncQueue execute count:1, success:3/total 18, fail:0 start...


Time:2016-11-16 21:12:06:109-Trace>>OnEntitySyncQueue execute count:1, success:4/total 30, fail:0 start...


